ID,Customer_Id,Invoice_Id,Job_Id,Type,Date,Amount,Taxable,Void,Reference
104034,17514,00000,,INV,2001-09-01 00:00:00,1300,True,False,
104035,28520,00000,,INV,2001-09-01 00:00:00,534.77,True,False,
104036,12001,65390,,INV,2001-10-02 00:00:00,305.58,True,False,
104037,44020,,,PMT,2001-10-10 00:00:00,2427.45,False,False,
104038,27004,13636,,INV,2001-10-09 00:00:00,784.77,True,False,
104039,93007,66206,,INV,2001-10-24 00:00:00,134.62,True,False,
104040,20903,13630,,INV,2001-10-08 00:00:00,146.45,True,False,
104041,47011,66238,,INV,2001-10-24 00:00:00,22.53,True,False,
104042,25024,65780,,INV,2001-10-12 00:00:00,30.2,True,False,
104043,57017,65262,,INV,2001-09-28 00:00:00,28.41,True,False,
104044,68021,65930,,INV,2001-10-17 00:00:00,992.59,True,False,
104045,67511,66013,,INV,2001-10-18 00:00:00,413.4,True,False,
104046,23512,,,PMT,2001-11-07 00:00:00,1437.89,False,False,
104047,67511,,,PMT,2001-11-15 00:00:00,413.4,False,False,
104048,24824,,,PMT,2001-11-06 00:00:00,377.26,False,False,
104049,89002,66931,,INV,2001-11-14 00:00:00,3.54,True,False,
104050,9505,13722,,INV,2001-11-02 00:00:00,10118.95,True,False,
104051,90008,66594,,INV,2001-11-05 00:00:00,4.35,True,False,
104052,10014,13810,,INV,2001-11-29 00:00:00,27341.36,True,False,
104053,11011,66302,,INV,2001-10-26 00:00:00,53.32,True,False,
104054,23914,66502,,INV,2001-11-02 00:00:00,71.43,False,False,
104055,20517,66859,,INV,2001-11-13 00:00:00,2964.85,False,False,
104056,67017,64478,,INV,2001-11-19 00:00:00,19.5,True,False,
104057,58817,66297,,INV,2001-10-26 00:00:00,1337.53,True,False,
104058,16014,,,PMT,2001-12-21 00:00:00,159,False,False,
104059,21014,,,PMT,2001-12-11 00:00:00,1194.41,False,False,
104060,20703,59860,,INV,2001-11-26 00:00:00,109.24,True,False,
104061,31605,59958,,INV,2001-11-29 00:00:00,12.3,True,False,
104062,50008,59934,,INV,2001-11-28 00:00:00,-54.86,True,False,
104063,24511,00000,,INT,2001-12-31 00:00:00,46.62,False,False,
104064,45016,00000,,INT,2001-12-31 00:00:00,10.86,False,False,
104065,66017,60226,,INV,2001-12-07 00:00:00,19.33,True,False,
104066,13020,60587,,INV,2001-12-19 00:00:00,30.29,True,False,
104067,32020,00000,,INT,2001-12-31 00:00:00,252.18,False,False,
104068,52324,60552,,INV,2001-12-18 00:00:00,20,False,False,
104069,42517,,,PMT,2002-01-11 00:00:00,967.72,False,False,
104070,11002,13891,,INV,2002-01-02 00:00:00,29.15,True,False,
104071,98402,13905,,INV,2003-11-11 00:00:00,559.19,True,False,
104072,70006,60906,,INV,2002-01-03 00:00:00,33.52,True,False,
104073,24014,13907,,INV,2002-01-05 00:00:00,216.09,True,False,
104074,57017,67560,,INV,2002-01-25 00:00:00,55.12,True,False,
104075,51017,13939,,INV,2002-01-19 00:00:00,835.28,True,False,
104076,56017,60897,,INV,2002-01-03 00:00:00,126.49,True,False,
104077,56017,60878,,INV,2002-01-03 00:00:00,82.03,True,False,
104078,56017,13900,,INV,2002-01-04 00:00:00,90.03,True,False,
104079,56017,60908,,INV,2002-01-04 00:00:00,17.73,True,False,
104080,56017,60910,,INV,2002-01-04 00:00:00,67.97,True,False,
104081,56017,67100,,INV,2002-01-10 00:00:00,28.85,True,False,
104082,56017,67240,,INV,2002-01-16 00:00:00,61.77,True,False,
104083,56017,67258,,INV,2002-01-16 00:00:00,66.04,True,False,
104084,56017,67281,,INV,2002-01-17 00:00:00,12.5,True,False,
104085,56017,67475,,INV,2002-01-23 00:00:00,5.94,True,False,
104086,56017,67519,,INV,2002-01-24 00:00:00,56.1,True,False,
104087,68021,67031,,INV,2002-01-09 00:00:00,114.48,True,False,
104088,68021,67257,,INV,2002-01-16 00:00:00,185.87,True,False,
104089,68021,67559,,INV,2002-01-25 00:00:00,77.8,True,False,
104090,78521,60983,,INV,2002-01-07 00:00:00,34.72,True,False,
104091,12523,60857,,INV,2002-01-02 00:00:00,55.87,True,False,
104092,12523,67273,,INV,2002-01-16 00:00:00,11.13,True,False,
104093,17020,60891,,INV,2002-01-03 00:00:00,28.25,True,False,
104094,18520,60952,,INV,2002-01-04 00:00:00,8.56,True,False,
104095,18520,67127,,INV,2002-01-11 00:00:00,16.26,True,False,
104096,18520,67305,,INV,2002-01-17 00:00:00,4.16,True,False,
104097,19020,67439,,INV,2002-01-22 00:00:00,11.61,True,False,
104098,21020,67395,,INV,2002-01-21 00:00:00,49.19,True,False,
104099,21020,60495,,INV,2002-12-15 00:00:00,156.67,True,False,
104100,21520,67304,,INV,2002-01-17 00:00:00,108.92,True,False,
104101,21520,67314,,INV,2002-01-18 00:00:00,64.08,True,False,
104102,21520,67454,,INV,2002-01-23 00:00:00,35.62,True,False,
104103,28520,13889,,INV,2002-01-02 00:00:00,826.8,True,False,
104104,28520,67387,,INV,2002-01-21 00:00:00,688.87,True,False,
104105,28520,67492,,INV,2002-01-24 00:00:00,82.68,True,False,
104106,29020,00000,,INV,2002-01-30 00:00:00,-108.79,True,False,
104107,29020,60853,,INV,2002-01-02 00:00:00,157.54,True,False,
104108,29020,13895,,INV,2002-01-03 00:00:00,274.3,True,False,
104109,29520,60918,,INV,2002-01-04 00:00:00,10.28,True,False,
104110,29520,67412,,INV,2002-01-22 00:00:00,27.48,True,False,
104111,33020,67414,,INV,2002-01-22 00:00:00,45.1,True,False,
