ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
62282,8502,3/1/2025,2/10/2025,-248.44,3,,84443
62283,12512,3/1/2025,2/10/2025,-38.04,3,,84449
62284,35110,3/1/2025,2/10/2025,-177.5,3,,84448
62288,53717,3/1/2025,2/11/2025,29.43,1,,84529
62289,4810,3/1/2025,2/11/2025,-2000,3,,84445
62294,10016,3/1/2025,2/12/2025,-2528.48,3,,84455
62299,66117,3/1/2025,2/13/2025,-1343.12,3,,84536
62300,73024,3/1/2025,2/13/2025,-5597.81,3,,84554
62308,84024,3/1/2025,2/17/2025,1312.89,1,C240820015,84556
62310,21020,3/1/2025,2/17/2025,4403.61,1,,84539
62312,78521,3/1/2025,2/17/2025,22.39,1,,84547
62322,9517,3/1/2025,2/18/2025,397.06,1,,84555
62329,66117,3/1/2025,2/19/2025,428.63,1,,84532
62331,7521,3/1/2025,2/19/2025,320.78,1,,84545
62335,28424,3/1/2025,2/19/2025,222.55,1,,84551
62346,66117,3/1/2025,2/20/2025,335.92,1,,84534
62365,43420,3/1/2025,2/22/2025,7.73,1,,84542
62368,7521,3/1/2025,2/24/2025,96.39,1,,84546
62375,16012,3/1/2025,2/24/2025,-1500,3,,84548
62386,66117,3/1/2025,2/25/2025,139.74,1,,84533
62392,16012,3/1/2025,2/25/2025,208.13,1,,84549
62417,43420,3/1/2025,2/28/2025,-150.99,3,,84541
62428,19114,3/1/2025,3/3/2025,-500,3,,84526
3,31520,2/1/2025,1/31/2025,15.11,5,,84429
62073,12220,2/1/2025,12/31/2024,-68.77,1,,84427
62087,43420,2/1/2025,1/3/2025,32.05,1,,84432
62093,43420,2/1/2025,1/4/2025,118.94,1,,84433
62099,66117,2/1/2025,1/6/2025,64.83,1,,84425
62104,7521,2/1/2025,1/7/2025,-176,3,,84435
62106,16012,2/1/2025,1/1/2025,-363.59,1,,84439
62112*,16012,2/1/2025,1/9/2025,48.93,1,,84437
62128,58217,2/1/2025,1/13/2025,71.4,1,,84424
62143,16012,2/1/2025,1/15/2025,126.93,1,,84438
62146,41220,2/1/2025,1/15/2025,-506.45,3,,84431
62165,39520,2/1/2025,1/17/2025,23.02,1,,84430
62173,18027,2/1/2025,1/21/2025,79.36,2,,84441
62188,39103,2/1/2025,1/25/2025,1015.82,1,,84426
62206,43420,2/1/2025,1/28/2025,-130,3,,84434
62211,17702,2/1/2025,1/29/2025,-420.21,3,,84423
*62129,21020,2/1/2025,1/13/2025,-96.28,4,,84442
1,19114,2/1/2025,1/31/2025,196.16,5,,84410
19951,88302,2/1/2025,7/29/2024,1200,1,,84389
2,45024,2/1/2025,1/31/2025,79.93,5,,84440
62039,19214,2/1/2025,12/23/2024,-5000,3,kathyLynch,84411
62040,88302,2/1/2025,12/23/2024,-1200,3,,84390
62072,2205,2/1/2025,12/31/2024,979.68,1,,84401
62078,28204,2/1/2025,1/2/2025,769.3,1,,84396
62083,15007,2/1/2025,1/3/2025,1969.36,1,,84400
62084,2205,2/1/2025,1/3/2025,537.34,1,,84402
62088,10016,2/1/2025,1/3/2025,13.54,1,loscano,84416
62089,55001,2/1/2025,1/3/2025,632.55,2,,84384
62097,28204,2/1/2025,1/6/2025,1083.31,1,,84397
